"","ASV_code","Sample","Count","Relative_Abundance"
"548","ASV92","SCF049-2",0,0
"549","ASV92","SCF049-3",0,0
"550","ASV92","SCF055-1",0,0
"551","ASV92","SCF055-4",543,0.000828386659771072
"552","ASV92","SCF055-5",0,0
"553","ASV93","SCF049-1",0,0
"554","ASV93","SCF049-2",0,0
"555","ASV93","SCF049-3",0,0
"556","ASV93","SCF055-1",226,0.00095864262990456
"557","ASV93","SCF055-4",314,0.000479030223145703
"558","ASV93","SCF055-5",0,0
"559","ASV94","SCF049-1",530,0.000562994279765667
"560","ASV94","SCF049-2",0,0
"561","ASV94","SCF049-3",0,0
"562","ASV94","SCF055-1",0,0
"563","ASV94","SCF055-4",0,0
"564","ASV94","SCF055-5",0,0
"565","ASV95","SCF049-1",0,0
"566","ASV95","SCF049-2",0,0
"567","ASV95","SCF049-3",522,0.00109915331504219
"568","ASV95","SCF055-1",0,0
"569","ASV95","SCF055-4",0,0
"570","ASV95","SCF055-5",0,0
"571","ASV96","SCF049-1",516,0.000548122732752989
"572","ASV96","SCF049-2",0,0
"573","ASV96","SCF049-3",0,0
"574","ASV96","SCF055-1",0,0
"575","ASV96","SCF055-4",0,0
"576","ASV96","SCF055-5",0,0
"577","ASV97","SCF049-1",274,0.000291057420105269
"578","ASV97","SCF049-2",0,0
"579","ASV97","SCF049-3",219,0.000461139034471722
"580","ASV97","SCF055-1",0,0
"581","ASV97","SCF055-4",0,0
"582","ASV97","SCF055-5",0,0
"583","ASV98","SCF049-1",0,0
"584","ASV98","SCF049-2",491,0.00156898083350908
"585","ASV98","SCF049-3",0,0
"586","ASV98","SCF055-1",0,0
"587","ASV98","SCF055-4",0,0
"588","ASV98","SCF055-5",0,0
"589","ASV99","SCF049-1",0,0
"590","ASV99","SCF049-2",488,0.00155939439257115
"591","ASV99","SCF049-3",0,0
"592","ASV99","SCF055-1",0,0
"593","ASV99","SCF055-4",0,0
"594","ASV99","SCF055-5",0,0
"595","ASV100","SCF049-1",485,0.000515192878653488
"596","ASV100","SCF049-2",0,0
"597","ASV100","SCF049-3",0,0
"598","ASV100","SCF055-1",0,0
"599","ASV100","SCF055-4",0,0
"600","ASV100","SCF055-5",0,0
"601","ASV101","SCF049-1",478,0.000507757105147149
"602","ASV101","SCF049-2",0,0
"603","ASV101","SCF049-3",0,0
"604","ASV101","SCF055-1",0,0
"605","ASV101","SCF055-4",0,0
"606","ASV101","SCF055-5",0,0
"607","ASV102","SCF049-1",0,0
"608","ASV102","SCF049-2",471,0.00150507122725617
"609","ASV102","SCF049-3",0,0
"610","ASV102","SCF055-1",0,0
"611","ASV102","SCF055-4",0,0
"612","ASV102","SCF055-5",0,0
"613","ASV103","SCF049-1",0,0
"614","ASV103","SCF049-2",0,0
"615","ASV103","SCF049-3",0,0
"616","ASV103","SCF055-1",0,0
"617","ASV103","SCF055-4",0,0
